proxy,bin,mean_proxy,mean_error,n
P1,0,1.1849,1.2044,860
P1,1,1.8642,1.3081,859
P1,2,2.4112,1.4052,859
P1,3,2.9708,1.5813,859
P1,4,3.7108,1.9255,859
P1,5,4.7457,2.1023,859
P1,6,6.0429,2.1639,859
P1,7,7.8639,2.5084,859
P1,8,12.1392,3.1864,859
P1,9,195.7754,19.3626,860
P2,0,42.0769,2.9986,3014
P2,1,42.0769,2.9046,1822
P2,2,42.0769,4.5024,2977
P2,3,42.0769,4.9471,779
P3,0,1.343,1.4821,860
P3,1,1.7277,1.5913,859
P3,2,1.9151,1.6848,859
P3,3,2.1034,1.656,859
P3,4,2.3104,1.9971,859
P3,5,2.5204,1.977,859
P3,6,2.7797,2.3032,859
P3,7,3.122,2.3015,859
P3,8,3.8859,2.7308,859
P3,9,22.6413,19.0242,860
